Phantasy Star Online Episode I&II Plus (GC)
File list contributed by WhisperWind

Size   Filename      Directory
45903872   sound.bin      <root>
27925   ws_data_de.bin      <root>
29846   ws_data_es.bin      <root>
29697   ws_data_fr.bin      <root>
13872   map_space_s_u.bin      <root>
13904   map_space_s.bin      <root>
13100   map_space_j_u.bin      <root>
13128   map_space_j.bin      <root>
13924   map_space_g_u.bin      <root>
13940   map_space_g.bin      <root>
13988   map_space_f_u.bin      <root>
14008   map_space_f.bin      <root>
13592   map_space_e_u.bin      <root>
13616   map_space_e.bin      <root>
19168   map_seabed_s_u.bin      <root>
19168   map_seabed_s.bin      <root>
17204   map_seabed_j_u.bin      <root>
17204   map_seabed_j.bin      <root>
19252   map_seabed_g_u.bin      <root>
19252   map_seabed_g.bin      <root>
19024   map_seabed_f_u.bin      <root>
19024   map_seabed_f.bin      <root>
18096   map_seabed_e_u.bin      <root>
18096   map_seabed_e.bin      <root>
14232   map_ruin_s_u.bin      <root>
14416   map_ruin_s.bin      <root>
13712   map_ruin_j_u.bin      <root>
13864   map_ruin_j.bin      <root>
14224   map_ruin_g_u.bin      <root>
14428   map_ruin_g.bin      <root>
14436   map_ruin_f_u.bin      <root>
14596   map_ruin_f.bin      <root>
13996   map_ruin_e_u.bin      <root>
14164   map_ruin_e.bin      <root>
4128   map_machine_s_u.bin      <root>
4024   map_machine_s.bin      <root>
4240   map_machine_j_u.bin      <root>
4204   map_machine_j.bin      <root>
4520   map_machine_g_u.bin      <root>
4380   map_machine_g.bin      <root>
4536   map_machine_f_u.bin      <root>
22179   ws_data_jp.bin      <root>
4232   map_machine_e_u.bin      <root>
4108   map_machine_e.bin      <root>
25488   map_labo_on_s_u.bin      <root>
25488   map_labo_on_s.bin      <root>
24752   map_labo_on_j_u.bin      <root>
24752   map_labo_on_j.bin      <root>
26796   map_labo_on_g_u.bin      <root>
26796   map_labo_on_g.bin      <root>
26760   map_labo_on_f_u.bin      <root>
26760   map_labo_on_f.bin      <root>
25376   map_labo_on_e_u.bin      <root>
25376   map_labo_on_e.bin      <root>
25488   map_labo_off_s_u.bin      <root>
25488   map_labo_off_s.bin      <root>
24752   map_labo_off_j_u.bin      <root>
24752   map_labo_off_j.bin      <root>
26796   map_labo_off_g_u.bin      <root>
7896   map_cave_g.bin      <root>
26760   map_labo_off_f_u.bin      <root>
26760   map_labo_off_f.bin      <root>
25376   map_labo_off_e_u.bin      <root>
25376   map_labo_off_e.bin      <root>
20016   map_jungle_s_u.bin      <root>
20016   map_jungle_s.bin      <root>
18404   map_jungle_j_u.bin      <root>
18404   map_jungle_j.bin      <root>
20564   map_jungle_g_u.bin      <root>
20564   map_jungle_g.bin      <root>
20148   map_jungle_f_u.bin      <root>
20148   map_jungle_f.bin      <root>
19260   map_jungle_e_u.bin      <root>
19260   map_jungle_e.bin      <root>
4316   map_forest_s_u.bin      <root>
4160   map_forest_s.bin      <root>
4520   map_forest_j_u.bin      <root>
4300   map_forest_j.bin      <root>
4652   map_forest_g_u.bin      <root>
4532   map_forest_g.bin      <root>
4684   map_forest_f_u.bin      <root>
4540   map_forest_f.bin      <root>
4496   map_forest_e_u.bin      <root>
4340   map_forest_e.bin      <root>
17776   map_city_on_s.bin      <root>
19064   map_city_on_j.bin      <root>
19284   map_city_on_g.bin      <root>
19380   map_city_on_f.bin      <root>
18680   map_city_on_e.bin      <root>
15568   map_city_off_s.bin      <root>
16372   map_city_off_j.bin      <root>
16756   map_city_off_g.bin      <root>
16884   map_city_off_f.bin      <root>
16368   map_city_off_e.bin      <root>
7440   map_cave_s_u.bin      <root>
7348   map_cave_s.bin      <root>
8020   map_cave_j_u.bin      <root>
7876   map_cave_j.bin      <root>
7972   map_cave_g_u.bin      <root>
7936   map_cave_f_u.bin      <root>
7804   map_cave_f.bin      <root>
7548   map_cave_e_u.bin      <root>
7444   map_cave_e.bin      <root>
5420   map_ancient_s_u.bin      <root>
5316   map_ancient_s.bin      <root>
5744   map_ancient_j_u.bin      <root>
5384   map_ancient_j.bin      <root>
6152   map_ancient_g_u.bin      <root>
6264   map_ancient_g.bin      <root>
5956   map_ancient_f_u.bin      <root>
5728   map_ancient_f.bin      <root>
5616   map_ancient_e_u.bin      <root>
5468   map_ancient_e.bin      <root>
6528   lightentry.bin      <root>
24650   ws_data_us.bin      <root>
4412   map_machine_f.bin      <root>
26796   map_labo_off_g.bin      <root>
598   dummy.bin      <root>
8736   bm_obj_city_board_2001.bml      <root>
4064   abeniji_fe_obj001_niji.bml      <root>
2165632   boss06_plotfalz_dat.bml      <root>
16384   boss06_rock_dat.bml      <root>
4032   abeno_fs_obj001_fosuno.bml      <root>
38912   boss06_tube_dat.bml      <root>
40800   bm_npc_hosa.bml      <root>
33632   bm_nctrunk_body.bml      <root>
40864   bm_npc_hosa2.bml      <root>
33600   bm_nctrunk2_body.bml      <root>
36928   bm_ncman_body.bml      <root>
40768   bm_ncchild_body.bml      <root>
39360   bm_npc_kenkyu.bml      <root>
40320   bm_npc_kenkyu2.bml      <root>
42944   bm_npc_kenkyu_w.bml      <root>
52352   ad_f_moyouring.bml      <root>
45600   bm_npc_soutokufu.bml      <root>
52800   bm_n_delta_w_body.bml      <root>
33408   bm_n_ebm_i_body.bml      <root>
33568   bm_n_ebw_i_body.bml      <root>
31840   bm_n_ecm_i_body.bml      <root>
33312   bm_n_ecw_i_body.bml      <root>
31264   bm_n_efm_i_body.bml      <root>
31840   bm_n_efsm_i_body_3.bml      <root>
32864   bm_n_efsw_i_body.bml      <root>
32352   bm_n_efw_i_body.bml      <root>
13664   biri_ball.bml      <root>
54624   bm_n_elly_t_body.bml      <root>
852896   bm_boss1_dragon.bml      <root>
5632   bm_modelparticle_gryphon.bml      <root>
158720   CharaMakingMot.bml      <root>
716832   bm_boss1_dragon_a.bml      <root>
42112   bm_kenkyuw2_body.bml      <root>
42496   bm_gunsinei_body.bml      <root>
3712   bm_gee_needle_body.bml      <root>
398912   bm_boss2_de_rol_le.bml      <root>
37184   bm_fs_obj_zombie_con.bml      <root>
5952   bm_fs_obj_yukakaiten01.bml      <root>
4480   bm_fs_obj_tombo.bml      <root>
17280   bm_fs_obj_sensor.bml      <root>
11104   bm_fs_obj_o_torabasami.bml      <root>
22592   bm_fs_obj_o_sensor01.bml      <root>
2209440   darkfalz_dat.bml      <root>
14176   bm_fs_obj_o_sekihi01.bml      <root>
21536   bm_fs_obj_o_monument03.bml      <root>
22272   bm_fs_obj_o_monument02.bml      <root>
21312   bm_fs_obj_o_monument01.bml      <root>
49920   rico_ring.bml      <root>
13888   bm_fs_obj_o_doorswitch01.bml      <root>
7200   bm_fs_obj_o_doorpanel.bml      <root>
84000   rico_body.bml      <root>
32160   bm_fs_obj_monitor.bml      <root>
4800   re_b_mark_base.bml      <root>
12416   bm_fs_obj_mekatombo.bml      <root>
8160   bm_fs_obj_lazerguard.bml      <root>
10240   bm_fs_obj_kurage.bml      <root>
28960   bm_fs_obj_ki_doa_panel.bml      <root>
30624   bm_fs_obj_ki_doa_a.bml      <root>
32160   bm_fs_obj_ki_doa2_a.bml      <root>
34208   bm_fs_obj_ki_doa2.bml      <root>
33184   bm_fs_obj_ki_doa.bml      <root>
371104   bm_boss2_de_rol_le_a.bml      <root>
51968   bm_fs_obj_kenkyu_com.bml      <root>
850560   bm_boss3_volopt.bml      <root>
854912   bm_boss3_volopt_ap.bml      <root>
1044896   bm_boss5_gryphon.bml      <root>
86720   bm_boss7_crawfish.bml      <root>
389888   bm_boss7_de_rol_le_c.bml      <root>
620096   pm_mdl.bml      <root>
31136   bm_n_emm_i_body.bml      <root>
31136   bm_n_emw_i_body.bml      <root>
32768   plYnj.bml      <root>
31456   bm_n_eom_i_body.bml      <root>
19136   bm_fs_obj_hanger_moto.bml      <root>
32768   plXnj.bml      <root>
32224   bm_n_eow_i_body.bml      <root>
20480   plWnj.bml      <root>
7840   bm_fs_obj_do_doa_panel.bml      <root>
31136   bm_fs_obj_do_doa03_a.bml      <root>
31168   bm_n_etm_i_body.bml      <root>
33088   bm_fs_obj_do_doa03.bml      <root>
31744   bm_fs_obj_do_doa02_a.bml      <root>
20480   plVnj.bml      <root>
35104   bm_fs_obj_do_doa02.bml      <root>
32320   bm_fs_obj_do_doa01_a.bml      <root>
35104   bm_fs_obj_do_doa01.bml      <root>
22464   bm_fs_obj_dokanban03.bml      <root>
22144   bm_fs_obj_dokanban02.bml      <root>
22144   bm_fs_obj_dokanban01.bml      <root>
38112   bm_n_etw_i_body.bml      <root>
22528   plUnj.bml      <root>
38592   bm_n_gunb2_i_body.bml      <root>
32768   plTnj.bml      <root>
39072   bm_n_gunm_i_body.bml      <root>
32768   plSnj.bml      <root>
31968   bm_n_hakase_i_body.bml      <root>
86016   plLnj.bml      <root>
32704   bm_n_hisyo_i_body.bml      <root>
100352   plKnj.bml      <root>
31776   bm_n_kanteib2_i_body.bml      <root>
53248   plJnj.bml      <root>
32032   bm_n_kanteib_i_body.bml      <root>
86016   plInj.bml      <root>
34400   bm_n_kanteif2_i_body.bml      <root>
77824   plHnj.bml      <root>
32192   bm_n_kanteifs2_i_body.bml      <root>
88064   plGnj.bml      <root>
32096   bm_n_kanteifs_i_body.bml      <root>
53248   plFnj.bml      <root>
33632   bm_n_kanteif_i_body.bml      <root>
36864   plEnj.bml      <root>
39168   bm_n_kanteio2_i_body.bml      <root>
77824   plDnj.bml      <root>
32160   bm_n_kanteio_i_body.bml      <root>
34816   plCnj.bml      <root>
30912   bm_n_kanteit2_i_body.bml      <root>
77824   plBnj.bml      <root>
30880   bm_n_kanteit_i_body.bml      <root>
59392   plAnj.bml      <root>
977312   bm_boss8_dragon.bml      <root>
4032   bm_butterfly_lobby.bml      <root>
7232   bm_eff_freeze.bml      <root>
13120   bm_eff_ice.bml      <root>
211392   bm_ene_abgc01_wola_body_low.bml      <root>
59520   onlineending_dat.bml      <root>
3648   obj_f_enemy.bml      <root>
145920   bm_ene_biter_body_low.bml      <root>
276736   bm_ene_bm9_s_mericarol_low.bml      <root>
13184   bm_ene_common_all.bml      <root>
137760   bm_ene_gibbles_low.bml      <root>
107072   bm_ene_gi_gue_low.bml      <root>
57984   bm_n_karen_t_body.bml      <root>
54496   bm_n_leo_w_body.bml      <root>
59040   bm_n_michel_t_body.bml      <root>
51840   bm_n_nol_t_body.bml      <root>
34848   bm_n_nurse_i_body.bml      <root>
55904   bm_n_paganini_t_body.bml      <root>
36704   bm_n_soutoku_i_body.bml      <root>
33888   bm_n_trunk_i_body.bml      <root>
17664   bm_obj_beamdoa.bml      <root>
8032   bm_obj_boss1_common.bml      <root>
8704   bm_obj_boss1_common_a.bml      <root>
9728   bm_obj_boss1_common_j.bml      <root>
131808   bm_obj_boss2_common.bml      <root>
106880   bm_obj_boss5_common.bml      <root>
58816   bm_fs_obj_cap_moto.bml      <root>
43136   bm_fs_obj_cakeya.bml      <root>
275648   bm_obj_boss7_common.bml      <root>
35584   bm_obj_boss8_demoroom.bml      <root>
25440   fe_obj306_hashi.bml      <root>
44288   fe_obj321_hashi.bml      <root>
9632   fe_obj_baiku.bml      <root>
37728   fe_obj_bigtutate.bml      <root>
295264   bm_obj_boss8_monitor.bml      <root>
29344   fe_obj_cam.bml      <root>
11264   bm_obj_boss8_piller.bml      <root>
4416   fe_obj_con_hahen1.bml      <root>
10272   fe_obj_doa_kanban.bml      <root>
10208   bm_obj_city_21.bml      <root>
16224   fe_obj_ex_box1.bml      <root>
40096   bm_ncwoman_body.bml      <root>
9600   bm_obj_city_board_normal.bml      <root>
3776   fe_obj_hako01_hahen02.bml      <root>
11584   fe_obj_hako02.bml      <root>
4192   fe_obj_hako_i_rail.bml      <root>
22880   fe_obj_hashi.bml      <root>
625632   fe_obj_hira_kage.bml      <root>
36128   fe_obj_h_s_konte.bml      <root>
11584   fe_obj_kaifuku_moto_2.bml      <root>
9408   bm_obj_city_board_xmas.bml      <root>
30368   fe_obj_lazer2_2.bml      <root>
51552   bm_obj_city_common.bml      <root>
13664   fe_obj_lazer2_4m.bml      <root>
14656   bm_obj_city_easter.bml      <root>
10208   bm_obj_city_pump.bml      <root>
98816   bm_obj_city_sonic.bml      <root>
12288   bm_obj_city_valen.bml      <root>
19840   bm_obj_city_xmas.bml      <root>
24256   bm_obj_comp_army.bml      <root>
35744   fe_obj_o_vs2container.bml      <root>
24128   bm_obj_comp_norm.bml      <root>
13152   bm_obj_desk.bml      <root>
11104   bm_obj_door_labo.bml      <root>
6336   fe_obj_switch_laz.bml      <root>
36384   bm_obj_door_ruins.bml      <root>
29632   bm_obj_door_space.bml      <root>
9056   fe_obj_switch_laz_j.bml      <root>
29600   bm_obj_gba.bml      <root>
4320   fe_obj_tanmatu02.bml      <root>
51968   fe_obj_turiten_moto.bml      <root>
29760   fe_obj_tutate.bml      <root>
18976   bm_obj_geenest.bml      <root>
11104   bm_obj_hako01.bml      <root>
6816   bm_obj_jungle_bird.bml      <root>
17120   bm_fs_obj_aircon01.bml      <root>
37376   bm_fe_obj_tank_hikari.bml      <root>
34880   fs_obj_door07_m.bml      <root>
4736   bm_obj_jungle_biwamushi.bml      <root>
5696   bm_obj_jungle_ebi.bml      <root>
6464   bm_obj_jungle_kamome.bml      <root>
22784   bm_obj_jungle_mkey.bml      <root>
32128   bm_obj_jungle_nokogiri.bml      <root>
16800   bm_obj_jungle_tree.bml      <root>
9472   bm_obj_labo_infocapsule.bml      <root>
14496   bm_obj_lobby_bell.bml      <root>
6048   bm_obj_lobby_curtain.bml      <root>
3680   bm_obj_lobby_kabocha.bml      <root>
142336   bm_obj_lobby_main.bml      <root>
6816   bm_obj_lobby_pigeon.bml      <root>
3168   bm_obj_lobby_rainbow.bml      <root>
10304   bm_obj_lobby_stendglass.bml      <root>
9856   bm_obj_lobby_suisou.bml      <root>
5952   bm_obj_lobby_tree.bml      <root>
4032   bm_obj_lobby_warp.bml      <root>
10208   bm_obj_meka_fish_0.bml      <root>
10240   bm_obj_meka_fish_1.bml      <root>
29440   fs_obj_ex_doa01.bml      <root>
8288   fs_obj_ex_entombo.bml      <root>
17216   bm_obj_partition_army.bml      <root>
17088   bm_obj_partition_norm.bml      <root>
6720   fs_obj_hanyousu_body1.bml      <root>
8960   fs_obj_hanyousu_body1_j.bml      <root>
5056   fs_obj_hanyousu_light.bml      <root>
11168   bm_obj_ruins_pillar.bml      <root>
58624   bm_obj_ruins_turiten.bml      <root>
4032   fs_obj_hanyousu_light_j.bml      <root>
11584   fs_obj_key_jungle.bml      <root>
4352   bm_obj_seabed_con.bml      <root>
4352   bm_obj_seabed_con_rare.bml      <root>
17984   bm_obj_seabed_dolphin.bml      <root>
7872   bm_obj_seabed_pillar.bml      <root>
78976   bm_obj_seabed_suiso.bml      <root>
79008   bm_obj_seabed_suiso_2.bml      <root>
7520   bm_obj_seabed_turigane.bml      <root>
39136   fs_obj_o_door05l.bml      <root>
14720   bm_obj_table_labo.bml      <root>
39424   fs_obj_o_door06l.bml      <root>
15488   bm_obj_warpboss.bml      <root>
90272   bm_obj_warpboss_ancient.bml      <root>
24288   bm_obj_warpboss_jungle.bml      <root>
24384   bm_obj_warp_jung.bml      <root>
3552   bm_o_abe_butterfly.bml      <root>
48064   bm_o_bind.bml      <root>
35296   fs_obj_o_vs2door01l.bml      <root>
207680   bm_o_boss4.bml      <root>
16608   bm_o_container_ancient.bml      <root>
4448   fs_obj_tank.bml      <root>
9536   bm_o_door_seabed01.bml      <root>
8256   fs_obj_tanmatu02.bml      <root>
5632   bm_o_door_seabed01_u.bml      <root>
30976   bm_o_door_vo_ship.bml      <root>
82880   bm_o_explosive_machine.bml      <root>
15072   fs_obj_warp.bml      <root>
2816   bm_o_grass_jungle.bml      <root>
11104   bm_o_jungle_doormain.bml      <root>
10272   bm_o_light_machine01.bml      <root>
57024   bm_fe_obj_rb_liwa.bml      <root>
58944   bm_fe_obj_rb3_liwa.bml      <root>
61248   bm_fe_obj_rb2_liwa.bml      <root>
137248   bm_fe_obj_o_hahen.bml      <root>
17696   bm_o_mine.bml      <root>
33088   bm_o_rock_cave01.bml      <root>
68320   bm_o_rock_cave02.bml      <root>
34048   bm_o_rock_cave03.bml      <root>
29024   bm_o_rock_jungle.bml      <root>
57440   bm_o_trap_ancient01.bml      <root>
580096   bm_o_vs2.bml      <root>
47392   bm_o_warp_ancient.bml      <root>
187360   bm_o_wreck_ancient.bml      <root>
2688   bm_ply_lock_on_cursor.bml      <root>
137920   bm_ene_ill_gill.bml      <root>
5632   bm_ply_photon_chair.bml      <root>
10528   bm_sakana_obj.bml      <root>
5664   bm_sakana_obj_lobby.bml      <root>
124928   bm_technic.bml      <root>
8096   bm_tec_regurar.bml      <root>
131936   bm_ene_lappy_ap.bml      <root>
130336   bm_ene_lappy_ap_es.bml      <root>
127392   bm_ene_lappy_ap_hw.bml      <root>
132960   bm_ene_lappy_ap_xs.bml      <root>
131968   bm_ene_lappy_es.bml      <root>
129024   bm_ene_lappy_hw.bml      <root>
134592   bm_ene_lappy_xs.bml      <root>
113984   bm_ene_re4_sorcerer.bml      <root>
113120   bm_ene_re4_sorcerer_a.bml      <root>
77760   bm_ene_recobox_low.bml      <root>
16864   bm_fd_obj_n_saku_4x2.bml      <root>
19424   bm_fd_obj_n_saku_4x4.bml      <root>
17280   bm_fd_obj_n_saku_6x2.bml      <root>
20320   bm_fd_obj_n_saku_6x4.bml      <root>
22016   bm_fd_obj_n_switch.bml      <root>
8128   bm_fe_obj_aircon02.bml      <root>
30688   bm_fe_obj_kaifuku_moto.bml      <root>
3936   bm_fe_obj_komo.bml      <root>
18880   item.bml      <root>
7200   bm_fe_obj_o_capsule01.bml      <root>
39488   bm_fe_obj_o_door01l.bml      <root>
39968   bm_fe_obj_o_door03l.bml      <root>
39712   bm_fe_obj_o_door04l.bml      <root>
6496   opening.bnr      <root>
7948   PlyMotionNpcTown.cpt      <root>
11774   PlyLevelTbl.cpt      <root>
12444   map_seabed02_00d.dat      <root>
12580   map_seabed02_01d.dat      <root>
9860   map_seabed02_02d.dat      <root>
1156   map_space01_00d.dat      <root>
7548   map_ruins02_02d.dat      <root>
14620   map_ruins02_01d.dat      <root>
11288   map_ruins02_00d.dat      <root>
5372   map_ruins01_02d.dat      <root>
9112   map_ruins01_01d.dat      <root>
2992   map_ruins01_00_jmo.dat      <root>
3456   map_ruins01_00_jme.dat      <root>
8908   map_ruins01_00d.dat      <root>
113304   challenge2_mlt_stg1_j.dat      <root>
512   indinfo.dat      <root>
33024   indirect.dat      <root>
101600   challenge2_mlt_stg2_j.dat      <root>
1224   map_space01_01d.dat      <root>
408   map_space01_02d.dat      <root>
62976   BattleParamEntry.dat      <root>
62976   BattleParamEntry_lab.dat      <root>
9000   ItemMagMotion.dat      <root>
62976   BattleParamEntry_lab_on.dat      <root>
62976   BattleParamEntry_on.dat      <root>
1088   map_space02_00d.dat      <root>
1156   map_space02_01d.dat      <root>
5776   battle_mlt_stg1_j.dat      <root>
2200   ItemShieldEntry.dat      <root>
6084   battle_mlt_stg2_j.dat      <root>
1020   map_space02_02d.dat      <root>
816   map_vs01_00ad.dat      <root>
816   map_vs01_00d.dat      <root>
8012   battle_mlt_stg3_j.dat      <root>
10708   battle_mlt_stg4_j.dat      <root>
1056   symbolchat.dat      <root>
8192   fogentry.dat      <root>
8192   fogentry_a.dat      <root>
6560   battle_mlt_stg5_j.dat      <root>
2684   battle_mlt_stg6_j.dat      <root>
102776   challenge2_mlt_stg3_j.dat      <root>
12736   battle_mlt_stg7_j.dat      <root>
22536   battle_mlt_stg8_j.dat      <root>
114272   challenge2_mlt_stg4_j.dat      <root>
40868   challenge2_mlt_stg5_j.dat      <root>
35876   challenge_mlt_stg1_j.dat      <root>
86428   challenge_mlt_stg2_j.dat      <root>
100176   challenge_mlt_stg3_j.dat      <root>
97960   challenge_mlt_stg4_j.dat      <root>
81284   challenge_mlt_stg5_j.dat      <root>
86028   challenge_mlt_stg6_j.dat      <root>
104284   challenge_mlt_stg7_j.dat      <root>
110800   challenge_mlt_stg8_j.dat      <root>
117048   challenge_mlt_stg9_j.dat      <root>
1020   map_vs01_01ad.dat      <root>
1904   map_machine02_05d.dat      <root>
36888   quest58_j.dat      <root>
45560   quest29_j.dat      <root>
36616   quest28_j.dat      <root>
70504   quest27_j.dat      <root>
30052   quest26_j.dat      <root>
48272   quest25_j.dat      <root>
50180   quest24_j.dat      <root>
26860   quest23_j.dat      <root>
48508   quest22_j.dat      <root>
40260   quest21_j.dat      <root>
19844   quest20_j.dat      <root>
35016   quest19_j.dat      <root>
16388   map_seabed01_02d.dat      <root>
31692   quest17_j.dat      <root>
64276   quest16_j.dat      <root>
90672   quest15_j.dat      <root>
33728   quest14_j.dat      <root>
53900   quest13_j.dat      <root>
34448   quest12_j.dat      <root>
31156   quest11_j.dat      <root>
65576   quest10_j.dat      <root>
26300   quest09_j.dat      <root>
24336   quest08_j.dat      <root>
25136   quest07_j.dat      <root>
15220   quest06_j.dat      <root>
21736   quest05_j.dat      <root>
12656   quest04_j.dat      <root>
3400   quest03_j.dat      <root>
1904   map_machine02_05ad.dat      <root>
1428   map_machine02_04d.dat      <root>
1428   map_machine02_04ad.dat      <root>
1224   map_machine02_03d.dat      <root>
1224   map_machine02_03ad.dat      <root>
3604   map_machine02_02d.dat      <root>
3604   map_machine02_02ad.dat      <root>
12856   quest02_j.dat      <root>
3536   map_machine02_01d.dat      <root>
3536   map_machine02_01ad.dat      <root>
12128   quest01_j.dat      <root>
3604   map_machine02_00d.dat      <root>
3604   map_machine02_00ad.dat      <root>
4624   map_machine01_05d.dat      <root>
4624   map_machine01_05ad.dat      <root>
1904   map_machine01_04d.dat      <root>
1904   map_machine01_04ad.dat      <root>
2108   map_machine01_03d.dat      <root>
2108   map_machine01_03ad.dat      <root>
5916   map_machine01_02d.dat      <root>
15368   map_ancient01_00ad.dat      <root>
15368   map_ancient01_00d.dat      <root>
12036   map_ancient01_01ad.dat      <root>
12036   map_ancient01_01d.dat      <root>
14212   map_ancient01_02ad.dat      <root>
14212   map_ancient01_02d.dat      <root>
4352   map_ancient01_03ad.dat      <root>
4352   map_ancient01_03d.dat      <root>
6528   map_ancient01_04ad.dat      <root>
6528   map_ancient01_04d.dat      <root>
31144   map_ancient02_00ad.dat      <root>
31144   map_ancient02_00d.dat      <root>
32028   map_ancient02_01ad.dat      <root>
32028   map_ancient02_01d.dat      <root>
30328   map_ancient02_02ad.dat      <root>
30328   map_ancient02_02d.dat      <root>
9860   map_ancient02_03ad.dat      <root>
9860   map_ancient02_03d.dat      <root>
8636   map_ancient02_04ad.dat      <root>
8636   map_ancient02_04d.dat      <root>
27744   map_ancient03_00ad.dat      <root>
27744   map_ancient03_00d.dat      <root>
26520   map_ancient03_01ad.dat      <root>
26520   map_ancient03_01d.dat      <root>
27336   map_ancient03_02ad.dat      <root>
27336   map_ancient03_02d.dat      <root>
